Id,Response
20000,7
20001,7
20002,7
20003,6
20004,7
20005,6
20006,6
20007,5
20008,5
20009,6
20010,6
20011,6
20012,7
20013,6
20014,7
20015,6
20016,5
20017,7
20018,5
20019,6
20020,6
20021,7
20022,7
20023,7
20024,6
20025,4
20026,7
20027,6
20028,6
20029,7
20030,7
20031,7
20032,6
20033,5
20034,4
20035,6
20036,6
20037,7
20038,5
20039,5
20040,7
20041,7
20042,7
20043,4
20044,5
20045,5
20046,7
20047,6
20048,6
20049,6
20050,5
20051,5
20052,6
20053,6
20054,4
20055,6
20056,7
20057,5
20058,6
20059,4
20060,7
20061,7
20062,6
20063,7
20064,7
20065,7
20066,6
20067,6
20068,8
20069,6
20070,7
20071,3
20072,7
20073,6
20074,7
20075,7
20076,4
20077,5
20078,7
20079,7
20080,7
20081,7
20082,6
20083,7
20084,6
20085,7
20086,6
20087,6
20088,4
20089,5
20090,6
20091,6
20092,6
20093,6
20094,6
20095,8
20096,6
20097,7
20098,6
20099,7
20100,7
20101,6
20102,7
20103,4
20104,6
20105,8
20106,4
20107,7
20108,5
20109,5
20110,8
20111,5
20112,7
20113,5
20114,6
20115,5
20116,6
20117,4
20118,7
20119,4
20120,6
20121,5
20122,7
20123,7
20124,4
20125,6
20126,7
20127,7
20128,6
20129,7
20130,6
20131,7
20132,4
20133,6
20134,6
20135,8
20136,7
20137,6
20138,5
20139,4
20140,5
20141,4
20142,5
20143,4
20144,6
20145,7
20146,7
20147,5
20148,5
20149,7
20150,4
20151,6
20152,5
20153,5
20154,4
20155,7
20156,7
20157,7
20158,4
20159,5
20160,5
20161,8
20162,7
20163,5
20164,6
20165,5
20166,6
20167,7
20168,6
20169,7
20170,5
20171,7
20172,7
20173,4
20174,7
20175,5
20176,7
20177,5
20178,4
20179,5
20180,6
20181,5
20182,7
20183,7
20184,5
20185,5
20186,6
20187,5
20188,4
20189,6
20190,3
20191,6
20192,7
20193,4
20194,5
20195,7
20196,6
20197,4
20198,5
20199,5
20200,6
20201,6
20202,7
20203,5
20204,7
20205,6
20206,6
20207,7
20208,6
20209,6
20210,6
20211,5
20212,7
20213,6
20214,5
20215,6
20216,3
20217,7
20218,5
20219,6
20220,5
20221,5
20222,5
20223,4
20224,3
20225,5
20226,7
20227,4
20228,6
20229,8
20230,4
20231,7
20232,5
20233,6
20234,6
20235,7
20236,5
20237,7
20238,7
20239,6
20240,7
20241,7
20242,6
20243,4
20244,7
20245,7
20246,5
20247,7
20248,6
20249,6
20250,5
20251,4
20252,6
20253,7
20254,5
20255,6
20256,7
20257,5
20258,6
20259,7
20260,6
20261,5
20262,6
20263,6
20264,7
20265,7
20266,7
20267,6
20268,5
20269,7
20270,7
20271,7
20272,6
20273,4
20274,6
20275,4
20276,6
20277,7
20278,7
20279,5
20280,7
20281,5
20282,7
20283,7
20284,6
20285,7
20286,6
20287,7
20288,6
20289,8
20290,6
20291,8
20292,7
20293,5
20294,7
20295,6
20296,5
20297,6
20298,7
20299,7
20300,6
20301,5
20302,6
20303,7
20304,5
20305,5
20306,4
20307,6
20308,4
20309,7
20310,5
20311,5
20312,4
20313,8
20314,4
20315,7
20316,6
20317,4
20318,7
20319,7
20320,6
20321,4
20322,6
20323,6
20324,6
20325,6
20326,5
20327,7
20328,5
20329,6
20330,6
20331,7
20332,4
20333,6
20334,7
20335,7
20336,7
20337,3
20338,6
20339,7
20340,5
20341,6
20342,4
20343,6
20344,6
20345,5
20346,7
20347,8
20348,6
20349,7
20350,4
20351,6
20352,6
20353,5
20354,5
20355,7
20356,6
20357,6
20358,7
20359,6
20360,6
20361,4
20362,7
20363,7
20364,8
20365,4
20366,5
20367,6
20368,7
20369,5
20370,7
20371,6
20372,4
20373,6
20374,5
20375,5
20376,7
20377,6
20378,7
20379,6
20380,6
20381,5
20382,6
20383,6
20384,7
20385,7
20386,6
20387,5
20388,8
20389,5
20390,7
20391,6
20392,5
20393,3
20394,6
20395,7
20396,4
20397,4
20398,7
20399,5
20400,6
20401,8
20402,5
20403,7
20404,6
20405,4
20406,5
20407,6
20408,7
20409,7
20410,7
20411,6
20412,7
20413,4
20414,6
20415,7
20416,4
20417,4
20418,6
20419,7
20420,8
20421,6
20422,6
20423,5
20424,6
20425,6
20426,5
20427,6
20428,7
20429,6
20430,5
20431,7
20432,5
20433,5
20434,7
20435,6
20436,5
20437,8
20438,7
20439,5
20440,5
20441,6
20442,4
20443,6
20444,7
20445,5
20446,6
20447,7
20448,6
20449,4
20450,4
20451,6
20452,4
20453,6
20454,6
20455,4
20456,5
20457,6
20458,3
20459,5
20460,6
20461,8
20462,4
20463,5
20464,6
20465,4
20466,5
20467,6
20468,7
20469,7
20470,6
20471,7
20472,7
20473,5
20474,6
20475,7
20476,5
20477,5
20478,6
20479,6
20480,4
20481,7
20482,6
20483,4
20484,8
20485,7
20486,7
20487,6
20488,4
20489,7
20490,6
20491,7
20492,7
20493,6
20494,7
20495,5
20496,6
20497,5
20498,6
20499,7
20500,7
20501,7
20502,3
20503,6
20504,5
20505,5
20506,6
20507,7
20508,6
20509,7
20510,6
20511,5
20512,7
20513,6
20514,6
20515,6
20516,7
20517,4
20518,7
20519,7
20520,7
20521,7
20522,6
20523,5
20524,7
20525,7
20526,7
20527,7
20528,5
20529,6
20530,4
20531,3
20532,5
20533,7
