Id,Response
20000,8
20001,7
20002,6
20003,7
20004,8
20005,6
20006,8
20007,6
20008,6
20009,6
20010,7
20011,6
20012,8
20013,6
20014,7
20015,7
20016,6
20017,7
20018,5
20019,7
20020,6
20021,6
20022,6
20023,6
20024,6
20025,6
20026,8
20027,7
20028,5
20029,7
20030,7
20031,7
20032,6
20033,7
20034,5
20035,6
20036,5
20037,7
20038,7
20039,6
20040,7
20041,7
20042,6
20043,6
20044,5
20045,6
20046,7
20047,5
20048,7
20049,6
20050,6
20051,7
20052,6
20053,4
20054,5
20055,6
20056,8
20057,5
20058,7
20059,6
20060,7
20061,7
20062,7
20063,7
20064,7
20065,6
20066,6
20067,7
20068,8
20069,6
20070,7
20071,5
20072,7
20073,5
20074,7
20075,7
20076,6
20077,6
20078,7
20079,7
20080,8
20081,7
20082,7
20083,6
20084,5
20085,7
20086,6
20087,7
20088,6
20089,5
20090,6
20091,6
20092,7
20093,8
20094,7
20095,7
20096,7
20097,7
20098,7
20099,7
20100,6
20101,6
20102,6
20103,6
20104,6
20105,8
20106,7
20107,7
20108,5
20109,6
20110,7
20111,6
20112,7
20113,6
20114,8
20115,6
20116,5
20117,5
20118,7
20119,4
20120,5
20121,5
20122,6
20123,8
20124,5
20125,6
20126,6
20127,7
20128,6
20129,7
20130,7
20131,7
20132,6
20133,7
20134,7
20135,7
20136,8
20137,7
20138,6
20139,5
20140,7
20141,4
20142,5
20143,6
20144,6
20145,7
20146,8
20147,6
20148,7
20149,6
20150,5
20151,7
20152,6
20153,5
20154,4
20155,7
20156,8
20157,7
20158,6
20159,6
20160,7
20161,7
20162,8
20163,5
20164,6
20165,6
20166,6
20167,8
20168,7
20169,7
20170,4
20171,8
20172,8
20173,4
20174,8
20175,7
20176,6
20177,4
20178,5
20179,7
20180,7
20181,6
20182,8
20183,7
20184,6
20185,4
20186,6
20187,5
20188,5
20189,6
20190,3
20191,6
20192,6
20193,5
20194,5
20195,7
20196,6
20197,5
20198,5
20199,6
20200,7
20201,6
20202,7
20203,3
20204,7
20205,6
20206,6
20207,7
20208,7
20209,6
20210,6
20211,5
20212,8
20213,6
20214,5
20215,5
20216,2
20217,6
20218,7
20219,7
20220,6
20221,6
20222,6
20223,6
20224,4
20225,6
20226,7
20227,3
20228,7
20229,8
20230,5
20231,7
20232,5
20233,7
20234,6
20235,5
20236,6
20237,6
20238,7
20239,7
20240,7
20241,8
20242,6
20243,6
20244,6
20245,7
20246,7
20247,7
20248,7
20249,5
20250,7
20251,6
20252,6
20253,7
20254,7
20255,6
20256,7
20257,5
20258,7
20259,7
20260,8
20261,7
20262,6
20263,7
20264,7
20265,7
20266,7
20267,6
20268,7
20269,8
20270,8
20271,6
20272,5
20273,5
20274,7
20275,7
20276,6
20277,7
20278,7
20279,5
20280,7
20281,7
20282,8
20283,7
20284,6
20285,7
20286,6
20287,7
20288,7
20289,7
20290,8
20291,5
20292,7
20293,6
20294,7
20295,6
20296,3
20297,6
20298,7
20299,8
20300,7
20301,7
20302,6
20303,7
20304,7
20305,5
20306,5
20307,6
20308,6
20309,7
20310,6
20311,7
20312,6
20313,7
20314,5
20315,7
20316,5
20317,4
20318,7
20319,7
20320,6
20321,2
20322,5
20323,5
20324,5
20325,7
20326,6
20327,7
20328,7
20329,6
20330,5
20331,7
20332,5
20333,6
20334,7
20335,6
20336,7
20337,3
20338,6
20339,7
20340,6
20341,8
20342,7
20343,8
20344,6
20345,8
20346,8
20347,5
20348,7
20349,6
20350,6
20351,6
20352,6
20353,6
20354,6
20355,7
20356,5
20357,6
20358,7
20359,8
20360,5
20361,6
20362,7
20363,7
20364,8
20365,3
20366,7
20367,6
20368,7
20369,7
20370,7
20371,6
20372,5
20373,6
20374,6
20375,6
20376,7
20377,7
20378,6
20379,6
20380,7
20381,5
20382,6
20383,6
20384,7
20385,7
20386,4
20387,7
20388,8
20389,8
20390,7
20391,6
20392,5
20393,5
20394,7
20395,8
20396,4
20397,5
20398,8
20399,5
20400,5
20401,7
20402,6
20403,7
20404,7
20405,3
20406,3
20407,6
20408,7
20409,6
20410,8
20411,7
20412,7
20413,6
20414,6
20415,7
20416,5
20417,7
20418,6
20419,6
20420,7
20421,6
20422,6
20423,6
20424,7
20425,7
20426,7
20427,6
20428,7
20429,7
20430,6
20431,7
20432,5
20433,6
20434,7
20435,8
20436,6
20437,8
20438,7
20439,4
20440,6
20441,6
20442,4
20443,7
20444,8
20445,8
20446,7
20447,6
20448,6
20449,3
20450,3
20451,6
20452,6
20453,5
20454,7
20455,6
20456,8
20457,6
20458,2
20459,7
20460,7
20461,7
20462,6
20463,7
20464,8
20465,6
20466,7
20467,6
20468,7
20469,8
20470,6
20471,7
20472,5
20473,5
20474,6
20475,7
20476,7
20477,6
20478,8
20479,6
20480,5
20481,7
20482,6
20483,3
20484,6
20485,6
20486,7
20487,6
20488,6
20489,7
20490,7
20491,8
20492,7
20493,7
20494,6
20495,6
20496,7
20497,5
20498,6
20499,8
20500,6
20501,7
20502,5
20503,8
20504,5
20505,6
20506,7
20507,7
20508,7
20509,7
20510,6
20511,5
20512,6
20513,6
20514,7
20515,7
20516,7
20517,6
20518,8
20519,7
20520,7
20521,7
20522,6
20523,4
20524,8
20525,7
20526,8
20527,5
20528,5
20529,6
20530,4
20531,4
20532,5
20533,6
20534,6
20535,7
20536,4
20537,7
20538,7
20539,7
20540,5
20541,7
20542,6
20543,6
20544,6
20545,8
20546,7
20547,7
20548,7
20549,7
20550,4
20551,8
20552,6
20553,7
20554,7
20555,5
20556,5
20557,6
20558,6
20559,6
20560,7
20561,6
20562,6
20563,4
20564,6
20565,5
20566,6
20567,6
20568,5
20569,7
20570,7
20571,7
20572,7
20573,8
20574,8
20575,8
20576,7
20577,8
20578,5
20579,4
20580,7
20581,7
20582,5
20583,7
20584,6
20585,7
20586,7
20587,7
20588,3
20589,7
20590,6
20591,7
20592,5
20593,7
20594,6
20595,6
20596,7
20597,6
20598,7
20599,7
20600,7
20601,6
20602,6
20603,8
20604,7
20605,5
20606,6
20607,6
20608,6
20609,7
20610,6
20611,6
20612,5
20613,7
20614,6
20615,8
20616,7
20617,6
20618,7
20619,7
20620,7
20621,7
20622,6
20623,6
20624,7
20625,6
20626,6
20627,7
20628,7
20629,6
20630,7
20631,7
20632,7
20633,8
20634,5
20635,4
20636,7
20637,8
20638,4
