Id,Response
20000,8
20001,8
20002,8
20003,8
20004,8
20005,6
20006,5
20007,7
20008,8
20009,8
20010,6
20011,7
20012,8
20013,6
20014,8
20015,1
20016,6
20017,8
20018,6
20019,8
20020,6
20021,8
20022,8
20023,8
20024,5
20025,6
20026,8
20027,8
20028,8
20029,8
20030,8
20031,8
20032,8
20033,6
20034,5
20035,8
20036,1
20037,8
20038,6
20039,6
20040,8
20041,8
20042,8
20043,5
20044,7
20045,1
20046,6
20047,8
20048,8
20049,6
20050,6
20051,5
20052,6
20053,6
20054,6
20055,6
20056,8
20057,6
20058,6
20059,6
20060,8
20061,8
20062,8
20063,8
20064,8
20065,8
20066,6
20067,8
20068,8
20069,6
20070,8
20071,6
20072,8
20073,7
20074,4
20075,8
20076,5
20077,6
20078,8
20079,8
20080,8
20081,8
20082,6
20083,8
20084,6
20085,8
20086,7
20087,6
20088,6
20089,5
20090,6
20091,5
20092,8
20093,6
20094,7
20095,8
20096,8
20097,8
20098,8
20099,8
20100,8
20101,7
20102,8
20103,2
20104,8
20105,8
20106,5
20107,8
20108,2
20109,5
20110,8
20111,6
20112,8
20113,6
20114,8
20115,6
20116,6
20117,5
20118,8
20119,1
20120,7
20121,4
20122,6
20123,8
20124,1
20125,4
20126,8
20127,8
20128,6
20129,8
20130,7
20131,8
20132,2
20133,8
20134,8
20135,8
20136,8
20137,6
20138,7
20139,5
20140,6
20141,1
20142,6
20143,8
20144,4
20145,8
20146,8
20147,5
20148,5
20149,8
20150,2
20151,8
20152,7
20153,6
20154,2
20155,8
20156,8
20157,8
20158,5
20159,1
20160,6
20161,8
20162,8
20163,7
20164,8
20165,6
20166,6
20167,8
20168,6
20169,8
20170,8
20171,6
20172,8
20173,6
20174,8
20175,5
20176,8
20177,2
20178,2
20179,7
20180,6
20181,8
20182,8
20183,8
20184,1
20185,5
20186,8
20187,7
20188,6
20189,8
20190,5
20191,4
20192,8
20193,2
20194,6
20195,8
20196,8
20197,5
20198,7
20199,6
20200,6
20201,8
20202,8
20203,1
20204,7
20205,6
20206,8
20207,8
20208,6
20209,6
20210,8
20211,5
20212,8
20213,8
20214,6
20215,7
20216,2
20217,8
20218,6
20219,8
20220,5
20221,6
20222,2
20223,6
20224,2
20225,6
20226,8
20227,2
20228,8
20229,8
20230,2
20231,8
20232,1
20233,6
20234,6
20235,8
20236,5
20237,8
20238,8
20239,5
20240,8
20241,8
20242,6
20243,2
20244,8
20245,8
20246,6
20247,8
20248,6
20249,6
20250,5
20251,5
20252,8
20253,8
20254,5
20255,4
20256,8
20257,1
20258,6
20259,8
20260,8
20261,6
20262,7
20263,8
20264,8
20265,8
20266,8
20267,6
20268,6
20269,8
20270,7
20271,8
20272,4
20273,6
20274,8
20275,5
20276,8
20277,8
20278,8
20279,5
20280,8
20281,6
20282,7
20283,8
20284,6
20285,8
20286,8
20287,6
20288,8
20289,8
20290,5
20291,8
20292,8
20293,6
20294,8
20295,8
20296,6
20297,3
20298,8
20299,8
20300,4
20301,5
20302,8
20303,7
20304,8
20305,5
20306,6
20307,7
20308,2
20309,8
20310,5
20311,5
20312,5
20313,8
20314,6
20315,8
20316,6
20317,7
20318,8
20319,7
20320,6
20321,2
20322,6
20323,6
20324,8
20325,8
20326,6
20327,8
20328,6
20329,6
20330,8
20331,8
20332,1
20333,8
20334,8
20335,8
20336,8
20337,2
20338,6
20339,8
20340,5
20341,8
20342,2
20343,6
20344,8
20345,2
20346,8
20347,8
20348,8
20349,8
20350,2
20351,7
20352,7
20353,6
20354,7
20355,8
20356,6
20357,7
20358,8
20359,8
20360,7
20361,6
20362,8
20363,8
20364,8
20365,6
20366,5
20367,7
20368,8
20369,8
20370,8
20371,6
20372,6
20373,8
20374,8
20375,6
20376,8
20377,6
20378,8
20379,4
20380,8
20381,6
20382,6
20383,8
20384,6
20385,8
20386,8
20387,6
20388,8
20389,5
20390,8
20391,6
20392,7
20393,2
20394,6
20395,8
20396,5
20397,2
20398,8
20399,6
20400,6
20401,8
20402,6
20403,8
20404,6
20405,6
20406,6
20407,5
20408,8
20409,8
20410,8
20411,7
20412,8
20413,5
20414,6
20415,8
20416,2
20417,1
20418,7
20419,8
20420,8
20421,8
20422,8
20423,6
20424,8
20425,8
20426,5
20427,8
20428,8
20429,7
20430,6
20431,8
20432,6
20433,6
20434,6
20435,6
20436,6
20437,8
20438,8
20439,5
20440,6
20441,6
20442,2
20443,6
20444,8
20445,6
20446,8
20447,8
20448,6
20449,2
20450,2
20451,7
20452,1
20453,6
20454,6
20455,1
20456,5
20457,7
20458,2
20459,5
20460,7
20461,8
20462,2
20463,6
20464,6
20465,6
20466,5
20467,1
20468,8
20469,8
20470,8
20471,8
20472,8
20473,6
20474,6
20475,8
20476,5
20477,6
20478,8
20479,6
20480,1
20481,8
20482,6
20483,6
20484,8
20485,8
20486,8
20487,7
20488,2
20489,8
20490,7
20491,8
20492,8
20493,8
20494,8
20495,7
20496,7
20497,8
20498,7
20499,8
20500,8
20501,8
20502,2
20503,8
20504,8
20505,7
20506,8
20507,8
20508,7
20509,8
20510,8
20511,6
20512,8
20513,6
20514,7
20515,8
20516,8
20517,6
20518,8
20519,8
20520,8
20521,8
20522,8
20523,6
20524,8
20525,8
20526,8
20527,8
20528,7
20529,4
20530,1
20531,1
20532,7
20533,8
20534,8
20535,8
20536,6
20537,6
20538,8
20539,6
20540,2
20541,8
20542,6
20543,6
20544,7
20545,8
20546,5
20547,8
